0	2.3076923077,12.5193589744,2.5132051282,2.3175641026,20.9025641026,92.8461538462,2.0541025641,1.7033333333,0.3910256410,1.4329487179,4.2547435769,0.9275641026,2.4633333333,476.4102564103
1	2.3043478261,13.0050000000,2.5773913043,2.3728260870,19.5695652174,103.6739130435,2.0547826087,1.5230434783,0.3950000000,1.4900000000,5.8239130435,0.8764347826,2.3019565217,724.1739130435
2	1.3846153846,13.1746153846,1.7492307692,2.4069230769,19.4000000000,110.6923076923,2.7638461538,2.5846153846,0.3053846154,1.8469230769,4.6038461538,1.0569230769,3.0630769231,943.6923076923
3	1.0000000000,13.9480000000,2.1140000000,2.2630000000,15.9400000000,103.2000000000,2.7540000000,2.8830000000,0.2650000000,1.8740000000,5.2170000000,1.0270000000,3.3700000000,1049.5000000000
4	1.0000000000,13.6625000000,2.3450000000,2.5575000000,17.7250000000,105.0000000000,2.7250000000,2.7925000000,0.2625000000,1.4825000000,4.7800000000,0.9925000000,3.0675000000,1093.7500000000
5	1.0000000000,13.7975000000,1.6900000000,2.3775000000,16.0750000000,103.5000000000,2.9325000000,3.2850000000,0.3000000000,2.4725000000,6.3625000000,1.1200000000,2.8100000000,1137.5000000000
6	1.0000000000,13.4566666667,1.9600000000,2.5700000000,16.2333333333,101.6666666667,3.1766666667,3.3066666667,0.3200000000,2.0433333333,5.8433333333,0.9866666667,3.2166666667,1190.0000000000
7	1.0000000000,13.7050000000,1.7200000000,2.5625000000,17.7250000000,109.0000000000,2.8200000000,3.1250000000,0.3375000000,1.8450000000,6.4750000000,1.1700000000,3.0775000000,1257.5000000000
8	1.0000000000,13.8520000000,1.6000000000,2.4220000000,17.5200000000,98.8000000000,2.7000000000,2.8120000000,0.2620000000,1.8640000000,5.3400000000,1.0580000000,2.9500000000,1285.0000000000
9	1.0000000000,14.1800000000,2.0350000000,2.6650000000,18.8000000000,120.5000000000,2.7000000000,2.8250000000,0.3200000000,1.6100000000,5.6250000000,1.0650000000,3.1150000000,1287.5000000000
10	1.0000000000,13.6900000000,1.7700000000,2.5550000000,16.6000000000,100.5000000000,2.7250000000,2.8350000000,0.2950000000,1.6350000000,6.4500000000,1.2150000000,2.8900000000,1315.0000000000
11	1.0000000000,13.7700000000,1.9000000000,2.6800000000,17.1000000000,115.0000000000,3.0000000000,2.7900000000,0.3900000000,1.6800000000,6.3000000000,1.1300000000,2.9300000000,1375.0000000000
12	1.0000000000,14.2000000000,1.7600000000,2.4500000000,15.2000000000,112.0000000000,3.2700000000,3.3900000000,0.3400000000,1.9700000000,6.7500000000,1.0500000000,2.8500000000,1450.0000000000
13	1.0000000000,14.3700000000,1.9500000000,2.5000000000,16.8000000000,113.0000000000,3.8500000000,3.4900000000,0.2400000000,2.1800000000,7.8000000000,0.8600000000,3.4500000000,1480.0000000000
14	1.0000000000,14.0200000000,1.8966666667,2.3466666667,16.3666666667,104.3333333333,3.0366666667,3.3833333333,0.2433333333,2.4300000000,6.7166666667,1.1800000000,3.0166666667,1524.0000000000
15	1.0000000000,14.1900000000,1.5900000000,2.4800000000,16.5000000000,108.0000000000,3.3000000000,3.9300000000,0.3200000000,1.8600000000,8.7000000000,1.2300000000,2.8200000000,1680.0000000000
